Tooth,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35
1,38.0,77.0,115.0,152.0,166.0,185.0,258.7,271.6,285.2,299.5,314.4,330.1,346.7,364.0,382.2,401.3,421.4,442.4,464.6,487.8,512.2,537.8,564.7,592.9,622.5,653.7,686.4,720.7,756.7,794.5,834.3,876.0,919.8,965.8,1000.0
2,38.5,81.2,100.2,161.2,161.2,191.6,246.9,271.3,295.3,295.3,306.4,341.7,341.7,407.3,407.3,407.3,449.7,465.9,473.3,473.4,504.4,557.0,557.0,601.4,601.4,686.0,764.9,764.9,764.9,801.5,801.5,946.7,956.7,956.7,988.5
3,34.8,70.5,119.7,146.1,154.1,166.3,285.3,291.0,291.0,308.9,352.3,352.3,352.3,373.2,402.7,418.7,418.9,477.4,477.4,494.4,494.4,527.4,538.3,580.0,672.8,672.8,673.1,768.7,768.7,842.0,842.0,878.7,985.8,985.8,1065.1
4,39.2,81.4,119.4,158.4,172.8,172.8,246.1,281.9,281.9,281.9,294.2,317.1,346.2,356.9,379.0,422.5,440.2,465.7,492.4,492.4,534.8,534.8,565.2,588.5,635.3,635.3,691.3,766.9,780.1,780.1,780.1,902.7,947.6,1019.1,1019.1
5,38.2,79.3,111.6,152.2,171.4,183.5,264.0,268.2,308.2,308.2,318.3,350.5,367.4,367.4,388.4,395.6,449.6,449.6,461.7,502.9,503.8,524.9,565.8,655.7,678.9,700.4,700.4,716.1,720.0,774.1,793.6,812.9,972.7,995.0,995.0
6,36.9,75.1,103.9,158.3,165.0,196.1,283.9,283.9,284.4,325.5,336.5,336.5,383.9,383.9,383.9,442.5,442.5,452.6,461.5,471.8,514.2,514.2,579.2,579.2,663.0,663.0,704.3,726.5,726.5,872.3,872.3,933.4,950.3,950.3,1070.2
7,34.8,75.1,121.6,152.5,168.9,198.3,250.8,285.7,305.2,307.2,335.5,335.5,346.9,361.1,372.9,395.2,435.4,436.9,437.7,449.9,523.3,523.6,545.9,557.1,591.9,628.0,629.0,712.1,805.8,805.8,805.8,872.4,918.0,956.8,1104.9
8,37.8,76.0,116.9,164.7,164.7,179.1,250.7,280.9,280.9,280.9,319.8,325.2,346.6,346.6,352.7,429.3,429.3,442.9,478.2,478.2,510.5,581.7,588.3,588.3,628.5,643.2,716.0,752.3,752.3,752.3,909.3,909.3,909.3,943.4,1061.8
9,37.9,77.6,116.7,145.8,169.1,192.0,262.6,308.1,308.1,308.1,342.6,342.6,357.7,373.3,393.6,393.6,393.6,419.8,484.3,484.3,568.1,568.1,585.6,604.0,642.8,659.8,659.8,737.7,759.2,759.2,764.6,911.1,1013.9,1013.9,1068.6
10,39.7,76.6,111.4,153.1,159.2,181.2,260.4,293.6,293.6,293.6,316.2,346.8,353.7,394.7,394.7,407.2,427.2,441.2,496.3,496.3,497.3,523.4,599.7,599.7,647.3,647.3,663.0,695.8,750.8,828.8,828.8,834.1,912.7,1016.1,1016.1
11,38.3,82.8,122.3,146.6,169.5,176.0,249.1,285.1,285.1,292.6,309.7,364.7,364.7,364.7,364.7,413.7,425.1,490.6,490.6,495.1,495.1,541.6,550.8,621.7,621.7,649.4,684.9,772.5,772.5,827.5,827.5,902.1,959.7,959.7,959.7
12,38.7,74.7,122.8,154.7,161.1,189.1,268.7,281.4,281.4,306.3,310.3,351.4,351.4,351.4,420.4,420.4,430.7,431.3,451.4,452.3,482.6,512.7,584.0,588.0,591.8,641.6,697.8,697.8,735.7,784.1,897.3,897.3,946.7,946.7,946.7
13,38.8,77.9,116.8,148.2,167.6,180.2,258.3,278.7,291.2,291.2,317.0,332.7,354.0,382.6,387.3,418.3,418.3,454.4,454.4,499.8,531.5,557.7,598.6,606.6,691.6,691.6,716.3,762.1,762.1,850.1,850.1,850.1,882.7,882.7,1066.5
14,36.0,76.5,127.6,145.8,173.0,176.0,265.8,282.7,284.2,286.4,315.1,315.1,329.1,359.9,372.1,400.1,400.1,428.2,479.7,486.8,498.2,552.9,552.9,668.9,668.9,668.9,668.9,697.4,731.8,829.7,829.7,914.1,914.1,960.8,974.9
15,38.6,70.7,116.6,158.7,160.7,197.0,258.3,286.2,297.9,330.3,330.3,330.3,352.1,352.1,382.2,398.2,420.8,460.6,486.4,486.4,520.1,542.7,542.7,612.8,658.6,665.6,665.6,691.9,763.8,802.7,879.5,895.4,970.3,970.3,970.3
16,35.4,75.2,115.1,155.3,155.3,180.8,253.3,270.5,280.8,285.9,314.9,315.1,351.2,362.9,397.6,419.1,419.1,433.7,480.3,513.0,513.0,521.8,585.8,590.0,628.1,654.3,691.9,710.0,750.6,799.4,828.2,909.2,909.2,1017.6,1070.7
17,39.6,70.7,106.0,154.6,154.6,182.9,258.5,266.4,294.7,294.7,294.7,340.2,366.0,366.0,389.0,395.8,434.3,443.5,466.4,501.6,501.6,583.3,607.7,607.7,607.7,645.8,645.8,725.8,725.8,779.5,787.7,826.8,938.7,1022.3,1042.5
18,36.3,76.4,119.2,167.9,167.9,185.2,252.2,271.9,289.4,302.6,302.6,324.1,340.9,375.0,375.0,403.4,403.4,450.9,466.0,515.4,520.9,562.1,577.0,625.4,644.8,644.8,713.3,713.3,773.5,820.0,820.0,911.5,919.9,1034.4,1034.4
19,41.1,75.3,105.4,150.8,163.5,204.6,260.9,298.8,298.8,309.5,335.4,350.1,350.1,350.1,362.1,433.0,433.0,433.0,498.8,498.8,535.2,549.3,549.3,577.5,608.0,619.3,701.9,701.9,783.5,833.5,845.3,845.3,853.0,931.2,1053.3
20,39.2,75.9,116.3,159.2,159.2,172.5,237.0,271.2,275.1,307.5,313.5,350.4,367.9,367.9,393.9,402.5,457.4,481.6,481.6,494.3,507.3,553.8,553.8,567.7,669.4,669.4,669.6,686.2,766.4,792.3,826.0,868.5,926.2,973.6,1015.8
21,37.4,79.4,110.4,145.5,174.7,198.4,244.1,274.6,274.6,304.1,304.1,331.2,331.2,363.0,382.0,393.0,435.6,435.6,464.8,481.1,551.6,551.6,581.3,621.2,639.2,707.9,707.9,707.9,732.3,732.3,915.0,915.0,915.0,915.0,1022.4
22,38.7,84.1,122.9,162.8,162.8,178.9,242.6,285.4,292.2,295.1,329.4,333.3,365.1,365.1,404.5,404.5,457.6,457.6,457.6,467.3,534.8,534.8,585.3,608.2,658.4,658.4,713.5,769.4,774.5,872.3,872.3,872.3,872.3,975.0,975.0
23,35.1,76.2,115.3,161.8,166.7,191.9,254.0,274.3,291.9,291.9,315.4,327.0,353.2,381.3,381.3,394.5,407.3,441.5,489.9,489.9,500.4,547.8,547.8,629.6,629.6,631.5,722.8,722.8,722.8,751.3,816.7,865.6,972.3,972.3,1066.8
24,36.4,78.0,110.4,166.8,171.9,189.5,264.8,264.8,290.1,290.1,290.1,347.7,347.7,356.0,379.7,414.1,431.7,445.0,445.0,493.9,574.9,574.9,574.9,574.9,592.5,712.8,712.8,754.3,754.3,755.7,828.5,877.9,933.7,933.7,1009.1
25,40.7,78.7,108.9,162.9,181.4,181.4,256.2,285.8,289.5,302.8,311.5,312.3,327.8,344.9,381.2,392.5,421.3,441.9,442.3,481.6,490.5,529.0,551.1,589.7,606.8,622.9,711.7,711.7,733.5,857.3,857.3,896.3,978.3,1032.8,1032.8
26,37.3,70.8,127.0,156.9,164.5,175.4,274.8,274.8,276.4,312.3,312.3,328.1,328.1,329.9,370.7,429.1,448.1,448.1,486.7,486.7,486.7,517.3,561.5,621.9,631.7,709.3,709.3,719.9,719.9,742.6,847.3,870.6,951.5,951.5,1037.8
27,39.9,72.6,119.0,154.0,162.0,174.2,271.0,279.2,296.0,298.1,316.0,326.2,351.9,376.6,382.6,396.8,416.3,440.3,459.0,478.9,520.7,520.7,526.1,573.3,644.1,692.6,692.6,725.5,793.4,900.9,900.9,910.6,948.1,952.4,1032.9
28,39.1,82.8,114.4,153.1,177.6,177.6,252.1,266.3,281.2,298.9,328.0,356.7,356.7,378.9,378.9,383.1,424.7,424.7,464.9,472.8,487.0,536.2,557.0,561.3,615.7,651.8,690.6,712.4,822.7,860.9,870.7,870.7,870.7,921.0,959.4
29,35.7,81.5,112.0,153.3,163.9,185.3,257.2,257.2,300.0,300.0,325.6,325.6,351.0,412.5,412.5,412.5,425.2,452.8,474.2,486.9,486.9,549.8,549.8,588.1,631.7,669.0,672.3,745.3,769.6,769.6,820.5,863.4,867.4,917.1,1005.7
30,40.5,73.0,115.1,145.8,165.8,172.7,243.2,263.7,275.0,329.9,337.4,337.4,380.7,381.7,384.0,405.4,435.7,436.5,478.0,478.0,478.0,594.4,594.4,603.3,668.6,733.2,733.2,738.0,738.0,780.9,829.1,880.0,911.5,1006.4,1020.0
31,38.0,73.2,121.0,158.2,158.3,195.3,257.7,273.9,278.8,294.7,316.3,323.1,323.1,323.1,406.8,406.8,406.8,406.8,488.8,493.0,518.6,519.6,549.5,595.3,606.6,654.0,654.0,712.5,792.8,823.4,823.4,866.1,959.6,1003.5,1003.5
32,34.0,72.8,123.5,138.9,176.1,179.1,257.0,259.0,270.1,290.3,317.1,317.1,333.7,370.6,382.6,382.6,405.0,423.4,465.0,472.6,526.3,551.7,560.4,584.8,670.6,670.6,670.6,713.4,855.2,855.2,855.2,884.7,929.8,959.1,1008.4
33,35.8,70.4,124.1,153.1,175.7,180.0,251.7,269.0,293.4,295.2,322.1,327.4,365.1,382.2,382.2,398.7,402.1,441.6,497.4,497.4,506.1,539.0,567.2,601.4,618.8,724.3,724.3,780.4,780.4,780.4,822.8,879.5,1006.6,1006.6,1006.6
34,38.6,78.2,111.2,154.1,163.2,169.4,262.5,262.5,267.6,308.7,317.5,328.3,328.3,362.7,400.8,436.7,436.7,475.4,477.7,477.7,545.0,545.0,545.0,560.0,588.4,698.4,698.4,698.4,788.5,788.5,836.7,868.1,868.1,938.4,1089.4
35,36.3,77.4,115.4,143.6,174.2,174.2,250.4,293.5,303.5,305.0,322.0,322.0,328.6,401.5,401.5,433.2,433.2,463.0,463.0,493.0,531.0,531.3,558.1,632.7,632.7,695.2,695.2,760.0,790.4,790.4,815.9,861.3,861.3,1001.4,1036.6
