Healthy,W40,W81,W115,W159,W175,W195,W227,W256,W276,W294,W305,W323,W344,W378,W400,W417,W436,W450,W466,W488,W510,W524,W557,W579,W608,W637,W684,W720,W744,W769,W797,W825,W853,W890,W932
1.048877496,0.488458732,0.532207163,0.512472762,0.60324794,0.610250932,0.66963834,0.773153176,0.893700477,0.884883409,0.857456019,0.980719684,1.014927722,1.10959523,1.293848267,1.328698263,1.334330721,1.386812788,1.546047395,1.636578795,1.719617997,1.76133473,1.516870119,1.538534532,1.452990956,1.63389599,2.240465425,1.880499377,2.406006324,2.614460949,1.959390777,2.162260509,2.177265872,2.039434501,1.879035559,1.546804855
1.040482764,0.509592803,0.525929127,0.501678826,0.605640246,0.616383624,0.651706973,0.77585715,0.907211415,0.866240782,0.863418195,0.968337248,1.0637513,1.111649646,1.277552773,1.299499254,1.324311249,1.368107023,1.539367185,1.627334958,1.708626589,1.744604556,1.537465763,1.542675308,1.451236248,1.611890328,2.236586042,1.902383824,2.414049878,2.320236301,1.913744926,2.169944196,2.111704544,2.059620668,1.726901177,1.582665882
1.023533802,0.512119653,0.543416836,0.515291888,0.647471776,0.648059043,0.648500801,0.788805044,0.88208494,0.876295353,0.840401083,0.942529547,1.067465497,1.166942345,1.242750592,1.301206303,1.287176073,1.357902793,1.525752382,1.572844407,1.652536915,1.684834991,1.509161041,1.503384353,1.411184135,1.589872224,2.255617932,1.907103292,2.472020856,2.349032172,1.804370898,2.019112653,1.952710078,1.952197269,1.740373603,1.478299124
1.062294316,0.501452707,0.531153925,0.507416592,0.64646005,0.650250337,0.64862427,0.787643204,0.900425528,0.892635941,0.855837965,0.957165665,1.073546974,1.145391545,1.226343802,1.268525554,1.281435373,1.356290347,1.589580047,1.605740849,1.683594272,1.673911551,1.510715905,1.514756792,1.413107285,1.742677656,2.165570067,1.910216382,2.428244494,2.355898623,1.780008123,1.953479871,1.898080355,1.97271855,1.713713726,1.477686105
1.041885426,0.514279555,0.547974617,0.530572046,0.619497135,0.598839822,0.642392875,0.790787114,0.887360128,0.872364584,0.823022081,0.925839396,1.042189696,1.12966832,1.210252845,1.239103585,1.274616792,1.281986944,1.524761469,1.579949863,1.723646675,1.669832787,1.497888909,1.477817272,1.418256749,1.712745034,2.199568533,1.841371231,2.335438271,2.074624887,1.818140037,1.983929183,1.946537038,1.857268575,1.717279107,1.485452041
1.022870226,0.532092909,0.532920196,0.528759003,0.606009585,0.597109393,0.644803304,0.768833136,0.884475547,0.896632963,0.819011916,0.9224334,1.036046748,1.137204277,1.234052774,1.236280511,1.315190437,1.353086958,1.592402092,1.559734504,1.689847316,1.668519459,1.532420071,1.470565445,1.42585546,1.717316778,2.231844962,1.864821392,2.266665348,2.068792016,1.813712142,2.008805767,1.846474277,1.892335977,1.714008209,1.46563155
1.022963486,0.528409575,0.506705211,0.535575059,0.612421344,0.622898573,0.659469194,0.790809138,0.875838359,0.857218503,0.814719845,1.235004888,1.09290936,1.12678106,1.222634156,1.201407174,1.269128149,1.337035303,1.551514848,1.594120538,1.625299107,1.606287638,1.542261084,1.473248565,1.430448798,1.75308133,2.140382658,1.847573911,2.096238413,2.070005298,1.766871667,2.006752098,1.922329868,1.781067793,1.789008627,1.447987847
1.035111919,0.519275836,0.510829964,0.534214305,0.600805326,0.621813917,0.674043294,0.79795473,0.885774677,0.860016086,0.823386132,1.214843919,1.083273746,1.123077622,1.229993924,1.194012904,1.265037729,1.336211891,1.572209447,1.580889978,1.611031496,1.625265218,1.555634229,1.517450115,1.417467608,1.770196816,2.151707941,1.854906262,2.101104622,2.088985567,1.754217465,1.968766021,1.994844749,1.834452173,1.792237984,1.47894304
0.865953958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.869424266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.864649011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.853823287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.868738077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.850255932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.830267978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.813256437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.819970841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.839347421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.813103517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.780261421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.762866683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.748610694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.759733032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.731095532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.836907445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.867859993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.89286355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.916047507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9372787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.963520808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.958652548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.960244495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.601783113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.606096332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.601384524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59428197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.592647537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5795403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.578113932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.577588269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.671321939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.653740169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.646896936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64762743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.636569868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.647456396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649093669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.609815789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.609980412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62365543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.630729882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.628665939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.625975267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.627976608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.641888986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.656852723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.595609353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.594415962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.595714324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.604964228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.589792854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.597184932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.606728954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.624145487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.592477368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58715142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59840348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.591442702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.593050706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59322004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.588594135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.588062376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.511680795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.536605305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.571138598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.562143853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.582716408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.576932897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.578050403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.599963473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.551313269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.552786741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.584212991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.556830284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.582713892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.582076114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.572379822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5880883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.518865419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509887043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.517690899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.552594197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.552930824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.537512387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.534978483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.535311922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.638751823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.607245292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.576322064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569619903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.566830656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.571376131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.576657333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.614800224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.656386778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649587183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.650882885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.643722177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.632617302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.641215678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.643367082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.624697121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.476133707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.47505467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428126789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.457752132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.459546189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.445031501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.449496524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.450673881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.499339533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.492751219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.488180006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49036245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.493966674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.492578727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.483246269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49698075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.513416489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.514422268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.51366613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.517519388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.499509849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.512141819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52395392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.515505216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.541201165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.554822834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.570344337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569543004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.607304603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.586515919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.551578948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.515564631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.537549897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.544305156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.548247165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.531725357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.545483836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.555667786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.563550177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
