Record,Value Speed 15 RPS,Value Speed 45 RPS
1,62.03312154,33.18487608
2,64.5708081,33.75855461
3,61.06897249,32.96243471
4,59.16420409,37.61540929
5,58.64722427,35.02733464
6,57.7578645,33.9427245
7,55.69065831,35.8472094
8,29.50150687,35.30408062
9,28.26724751,20.0290776
10,29.54739617,20.51379688
11,29.287328,23.02569419
12,32.39313026,23.62254115
13,33.5884557,23.77433391
14,32.67593571,24.09956729
15,32.48347717,22.97484874
16,34.17073081,15.15052346
17,31.55973536,18.79359555
18,31.6054821,19.97273941
19,30.19673975,23.89522637
20,29.70168396,21.82252879
21,27.24163245,25.15197271
22,28.52040579,26.45862056
23,28.41589371,25.99882887
24,29.12347326,25.73565292
25,23.219162,38.74912589
26,26.33456407,37.34225839
27,28.57985867,38.0074899
28,29.06655719,35.50172162
29,30.81133641,37.16480574
30,28.74326742,36.96075841
31,29.24706142,35.41390905
32,29.80768669,32.24003737
33,26.7063616,10.11543453
34,26.73407191,9.244269853
35,24.75769491,9.300347293
36,24.41454561,9.303207159
37,25.08511731,9.810895483
38,25.37660802,9.675041152
39,26.53646768,10.25978071
40,22.97611194,10.98677193
41,24.63732371,7.838550781
42,26.13529873,7.703321802
43,26.90596092,7.846963567
44,28.16041851,7.649901477
45,30.36129941,8.261933687
46,31.19725174,8.791813354
47,31.9368109,7.991703152
48,33.34433783,7.864714274
49,29.26105068,7.452111891
50,29.4949853,8.282136064
51,30.70301927,9.120200428
52,31.30444933,8.522591296
53,31.80724087,9.210233987
54,32.94296697,8.684403596
55,34.61830976,10.19199679
56,35.63311969,10.48298636
57,52.17547347,8.352818683
58,45.73998784,8.235733397
59,45.57165372,8.990788229
60,43.52397015,9.277069907
61,43.55520465,9.4939121
62,43.08926373,8.812885836
63,42.43139259,9.087799671
64,18.75978557,12.62707308
65,17.18071566,9.936987353
66,17.20818436,9.349308098
67,15.78671612,8.947076502
68,16.77320848,8.031003903
69,16.2514911,8.524443468
70,15.80134559,8.71706265
71,16.39980232,8.717725557
72,15.79132787,8.355953872
73,17.65600914,9.942094412
74,19.34309795,8.805285576
75,20.36395414,9.417195624
76,20.69923968,8.74738836
77,20.9358297,8.705617147
78,22.05990861,9.834270889
