Record number,Record at 45 [RPS],Record at 15 [RPS],Status
1,202302131332,202302131613,Healthy
2,202302131333,202302131614,Healthy
3,202302131334,202302131616,Healthy
4,202302131335,202302131617,Healthy
5,202302131337,202302131619,Healthy
6,202302131338,202302131620,Healthy
7,202302131339,202302131621,Healthy
8,202302131340,202302131629,Healthy
9,202302131349,202302131630,Healthy
10,202302131350,202302131631,Healthy
11,202302131353,202302131632,Healthy
12,202302131354,202302131633,Healthy
13,202302131355,202302131634,Healthy
14,202302131356,202302131636,Healthy
15,202302131357,202302131637,Healthy
16,202302131406,202302131638,Healthy
17,202302131407,202302131653,Healthy
18,202302131408,202302131654,Healthy
19,202302131410,202302131655,Healthy
20,202302131412,202302131656,Healthy
21,202302131413,202302131657,Healthy
22,202302131414,202302131658,Healthy
23,202302131415,202302131700,Healthy
24,202302131416,202302131701,Healthy
25,202302131442,202302131707,Healthy
26,202302131444,202302131708,Healthy
27,202302131445,202302131709,Healthy
28,202302131446,202302131710,Healthy
29,202302131447,202302131711,Healthy
30,202302131448,202302131712,Healthy
31,202302131449,202302131713,Healthy
32,202302131450,202302131715,Healthy
33,202302131502,202302131722,Healthy
34,202302131504,202302131724,Healthy
35,202302131505,202302131725,Healthy
36,202302131506,202302131726,Healthy
