Record number,45 [RPS],15 [RPS],Status
1,202302281451,202302281804,Healthy
2,202304091309,202304091416,W1
3,202304091820,202304091915,W2
4,202304101127,202304101254,W3
5,202304101626,202304101719,W4
6,202304101940,202304102103,W5
7,202304131812,202304131959,W6
8,202304161204,202304161305,W7
9,202304161729,202304161830,W8
10,202304181335,202304181419,W9
11,202304191339,202304191435,W10
12,202304191942,202304192035,W11
13,202304201237,202304201337,W12
14,202304231250,202304231343,W13
15,202304231738,202304231828,W14
16,202304232122,202304232209,W15
17,202305011249,202305011342,W16
18,202305012023,202305012112,W17
19,202305021343,202305021442,W18
20,202305031417,202305031518,W19
21,202305071159,202305071305,W20
22,202305071715,202305071810,W21
23,202305101918,202305141010,W22
24,202305141739,202305141816,W23
25,202305231759,202305231852,W24
26,202305241916,202305242006,W25
27,202305301754,202305301847,W26
28,202305311947,202305312039,W27
29,202306040920,202306041012,W28
30,202306041848,202306041936,W29
31,202306071544,202306071634,W30
32,202306081233,202306081321,W31
33,202306091715,202306091759,W32
34,202306111441,202306111524,W33
35,202306131453,202306131547,W34
36,202306151044,202306151134,W35
