Record number,Normalized FME at,,
1,33.2,62.0,Healthy
2,33.8,64.6,Healthy
3,33.0,61.1,Healthy
4,37.6,59.2,Healthy
5,35.0,58.6,Healthy
6,33.9,57.8,Healthy
7,35.8,55.7,Healthy
8,35.3,29.5,Healthy
9,20.0,28.3,Healthy
10,20.5,29.5,Healthy
11,23.0,29.3,Healthy
12,23.6,32.4,Healthy
13,23.8,33.6,Healthy
14,24.1,32.7,Healthy
15,23.0,32.5,Healthy
16,15.2,34.2,Healthy
17,18.8,31.6,Healthy
18,20.0,31.6,Healthy
19,23.9,30.2,Healthy
20,21.8,29.7,Healthy
21,25.2,27.2,Healthy
22,26.5,28.5,Healthy
23,26.0,28.4,Healthy
24,25.7,29.1,Healthy
25,38.7,23.2,Healthy
26,37.3,26.3,Healthy
27,38.0,28.6,Healthy
28,35.5,29.1,Healthy
29,37.2,30.8,Healthy
30,37.0,28.7,Healthy
31,35.4,29.2,Healthy
32,32.2,29.8,Healthy
33,10.1,26.7,Healthy
34,9.2,26.7,Healthy
35,9.3,24.8,Healthy
36,9.3,24.4,Healthy
37,9.8,25.1,Healthy
38,9.7,25.4,Healthy
